Name,Language,Description,URL,Stars,Month
ipwndfu,python,open-source jailbreaking tool for many iOS devices,https://github.com/axi0mX/ipwndfu,706,10
impersonator,python,"PyTorch implementation of our ICCV 2019 paper: Liquid Warping GAN: A Unified Framework for Human Motion Imitation, Appearance Transfer and Novel View Synthesis",https://github.com/svip-lab/impersonator,108,10
Python,python,My Python Examples,https://github.com/geekcomputers/Python,470,10
albert_zh,python,"海量中文预训练ALBERT模型, A LITE BERT FOR SELF-SUPERVISED LEARNING OF LANGUAGE REPRESENTATIONS",https://github.com/brightmart/albert_zh,133,10
HelloGitHub,python,Find pearls on open-source seashore 分享 GitHub 上有趣、入门级的开源项目,https://github.com/521xueweihan/HelloGitHub,190,10
transformers,python,🤗Transformers: State-of-the-art Natural Language Processing for TensorFlow 2.0 and PyTorch.,https://github.com/huggingface/transformers,256,10
JiaGuoMeng,python,家国梦建筑摆放计算,https://github.com/SQRPI/JiaGuoMeng,23,10
thefuck,python,Magnificent app which corrects your previous console command.,https://github.com/nvbn/thefuck,335,10
fav-up,python,IP lookup from favicon using Shodan,https://github.com/pielco11/fav-up,64,10
code_snippets,python,,https://github.com/CoreyMSchafer/code_snippets,10,10
buildbot,python,Python-based continuous integration testing framework; your pull requests are more than welcome!,https://github.com/buildbot/buildbot,2,10
integrations-core,python,Core integrations of the Datadog Agent,https://github.com/DataDog/integrations-core,7,10
streamlit,python,Streamlit — The fastest way to build custom ML tools,https://github.com/streamlit/streamlit,742,10
wemake-python-styleguide,python,The strictest and most opinionated python linter ever!,https://github.com/wemake-services/wemake-python-styleguide,50,10
pwnagotchi,python,(⌐■_■) - Deep Reinforcement Learning instrumenting bettercap for WiFI pwning.,https://github.com/evilsocket/pwnagotchi,125,10
WebWhatsapp-Wrapper,python,An API for sending and receiving messages over web.whatsapp [Working as of 18th May 2018],https://github.com/mukulhase/WebWhatsapp-Wrapper,2,10
RAdam,python,On the Variance of the Adaptive Learning Rate and Beyond,https://github.com/LiyuanLucasLiu/RAdam,3,10
synapse,python,Synapse: Matrix reference homeserver,https://github.com/matrix-org/synapse,5,10
gpt-2,python,"Code for the paper ""Language Models are Unsupervised Multitask Learners""",https://github.com/openai/gpt-2,27,10
gpytorch,python,A highly efficient and modular implementation of Gaussian Processes in PyTorch,https://github.com/cornellius-gp/gpytorch,12,10
home-assistant,python,🏡Open source home automation that puts local control and privacy first,https://github.com/home-assistant/home-assistant,148,10
imagededup,python,😎Finding duplicate images made easy!,https://github.com/idealo/imagededup,421,10
AutoRecon,python,AutoRecon is a multi-threaded network reconnaissance tool which performs automated enumeration of services.,https://github.com/Tib3rius/AutoRecon,61,10
litmus,python,"Litmus is the toolset for Kubernetes SREs to practice chaos engineering. Use the pre-defined chaos charts, run chaos, find weaknesses in your Kubernetes systems.",https://github.com/litmuschaos/litmus,11,10
youtube-dl,python,Command-line program to download videos from YouTube.com and other video sites,https://github.com/ytdl-org/youtube-dl,128,10
calibre-web,python,"📚Web app for browsing, reading and downloading eBooks stored in a Calibre database",https://github.com/janeczku/calibre-web,22,10
theHarvester,python,"E-mails, subdomains and names Harvester - OSINT",https://github.com/laramies/theHarvester,7,10
algo,python,数据结构和算法必知必会的50个代码实现,https://github.com/wangzheng0822/algo,123,10
rlpyt,python,Reinforcement Learning in PyTorch,https://github.com/astooke/rlpyt,31,10
