Name,Language,Description,URL,Stars,Month
Python,python,All Algorithms implemented in Python,https://github.com/TheAlgorithms/Python,637,6
BlueKeep,python,Proof of concept for CVE-2019-0708,https://github.com/Ekultek/BlueKeep,205,6
CVE-2019-0708,python,dump,https://github.com/n1xbyte/CVE-2019-0708,122,6
opendevops,python,CODO是为用户提供企业多混合云、自动化运维、完全开源的云管理平台,https://github.com/opendevops-cn/opendevops,92,6
pytorch-image-models,python,"PyTorch image models, scripts, pretrained weights -- (SE)ResNet/ResNeXT, DPN, EfficientNet, MobileNet-V3/V2/V1, MNASNet, Single-Path NAS, FBNet, and more",https://github.com/rwightman/pytorch-image-models,94,6
system-design-primer,python,Learn how to design large-scale systems. Prep for the system design interview. Includes Anki flashcards.,https://github.com/donnemartin/system-design-primer,182,6
ChromeAppHeroes,python,"🌈谷粒-Chrome插件英雄榜, 为优秀的Chrome插件写一本中文说明书, 让Chrome插件英雄们造福人类~ ChromePluginHeroes, Write a Chinese manual for the excellent Chrome plugin, let the Chrome plugin heroes benefit the human~",https://github.com/zhaoolee/ChromeAppHeroes,76,6
public-apis,python,A collective list of free APIs for use in software and web development.,https://github.com/toddmotto/public-apis,69,6
BitGlitter,python,⚡ Embed data payloads inside of ordinary images or video with high-performance 2-D barcodes.,https://github.com/MarkMichon1/BitGlitter,73,6
SMRCToolkit,python,"This toolkit was designed for the fast and efficient development of modern machine comprehension models, including both published models and original prototypes.",https://github.com/sogou/SMRCToolkit,64,6
EfficientNet-PyTorch,python,A PyTorch implementation of EfficientNet,https://github.com/lukemelas/EfficientNet-PyTorch,418,6
naacl_transfer_learning_tutorial,python,Repository of code for the NAACL tutorial on Transfer Learning in NLP,https://github.com/huggingface/naacl_transfer_learning_tutorial,96,6
AiLearning,python,AiLearning: 机器学习 - MachineLearning - ML、深度学习 - DeepLearning - DL、自然语言处理 NLP,https://github.com/apachecn/AiLearning,181,6
rtv,python,Browse Reddit from your terminal,https://github.com/michael-lazar/rtv,81,6
Super-mario-bros-A3C-pytorch,python,Asynchronous Advantage Actor-Critic (A3C) algorithm for Super Mario Bros,https://github.com/vietnguyen91/Super-mario-bros-A3C-pytorch,84,6
sunfish,python,Sunfish: a Python Chess Engine in 111 lines of code,https://github.com/thomasahle/sunfish,80,6
models,python,Models and examples built with TensorFlow,https://github.com/tensorflow/models,81,6
bluekeep_CVE-2019-0708_poc_to_exploit,python,Porting BlueKeep PoC from @Ekultek to actual exploits,https://github.com/algo7/bluekeep_CVE-2019-0708_poc_to_exploit,60,6
EverydayWechat,python,每日自动给女朋友发微信暖心话。,https://github.com/sfyc23/EverydayWechat,565,6
kedro,python,A Python library for building robust production-ready data and analytics pipelines,https://github.com/quantumblacklabs/kedro,225,6
TensorNetwork,python,A library for easy and efficient manipulation of tensor networks.,https://github.com/google/TensorNetwork,135,6
