Name,Language,Description,URL,Stars,Month
inter,python,The Inter UI font family,https://github.com/rsms/inter,157,1
home-assistant,python,🏡Open source home automation that puts local control and privacy first,https://github.com/home-assistant/home-assistant,116,1
sherlock,python,🔎Find usernames across social networks,https://github.com/sdushantha/sherlock,448,1
awesome-python-applications,python,"💿Free software that works great, and also happens to be open-source Python.",https://github.com/mahmoud/awesome-python-applications,366,1
faceswap,python,Non official project based on original /r/Deepfakes thread. Many thanks to him!,https://github.com/deepfakes/faceswap,182,1
Super-SloMo,python,PyTorch implementation of Super SloMo by Jiang et al.,https://github.com/avinashpaliwal/Super-SloMo,45,1
public-apis,python,A collective list of free APIs for use in software and web development.,https://github.com/toddmotto/public-apis,44,1
youtube-dl,python,Command-line program to download videos from YouTube.com and other video sites,https://github.com/rg3/youtube-dl,121,1
bert,python,TensorFlow code and pre-trained models for BERT,https://github.com/google-research/bert,83,1
awesome-python,python,"A curated list of awesome Python frameworks, libraries, software and resources",https://github.com/vinta/awesome-python,195,1
flair,python,A very simple framework for state-of-the-art Natural Language Processing (NLP),https://github.com/zalandoresearch/flair,511,1
uncaptcha2,python,defeating the latest version of ReCaptcha with 91% accuracy,https://github.com/ecthros/uncaptcha2,769,1
Deep-Learning-Papers-Reading-Roadmap,python,Deep Learning papers reading roadmap for anyone who are eager to learn this amazing tech!,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap,86,1
models,python,Models and examples built with TensorFlow,https://github.com/tensorflow/models,256,1
instagan,python,"PyTorch implementation of ""InstaGAN: Instance-aware Image Translation"" (ICLR 2019)",https://github.com/sangwoomo/instagan,75,1
system-design-primer,python,Learn how to design large-scale systems. Prep for the system design interview. Includes Anki flashcards.,https://github.com/donnemartin/system-design-primer,258,1
litecli,python,CLI for SQLite Databases with auto-completion and syntax highlighting,https://github.com/dbcli/litecli,250,1
12306,python,12306智能刷票，订票,https://github.com/testerSunshine/12306,1027,1
edge-connect,python,EdgeConnect: Generative Image Inpainting with Adversarial Edge Learning. https://arxiv.org/abs/1901.00212,https://github.com/knazeri/edge-connect,116,1
pycm,python,Multi-class confusion matrix library in Python,https://github.com/sepandhaghighi/pycm,80,1
py_regular_expressions,python,Learn Python Regular Expressions step by step from beginner to advanced levels,https://github.com/learnbyexample/py_regular_expressions,87,1
d2l-en,python,"Dive into Deep Learning, Berkeley STAT 157 (Spring 2019) textbook. With code, math, and discussions.",https://github.com/d2l-ai/d2l-en,60,1
12306-booking,python,12306 订票助手：自动刷票，扫码登录，自动下单，自动跳转微信支付，扫码支付,https://github.com/hack12306/12306-booking,58,1
transformer-xl,python,,https://github.com/kimiyoung/transformer-xl,57,1
mindsdb,python,Framework to streamline use of neural networks,https://github.com/mindsdb/mindsdb,109,1
pkuseg-python,python,python版本：领域细分的中文分词工具，简单易用，跟现有开源工具相比提高了分词的准确率。,https://github.com/lancopku/pkuseg-python,49,1
py12306,python,🚂12306 购票助手，支持分布式，多账号，多任务购票以及 Web 页面管理,https://github.com/pjialin/py12306,824,1
deep-learning-ocean,python,📡All You Need to Know About Deep Learning - A kick-starter,https://github.com/osforscience/deep-learning-ocean,875,1
project_alias,python,"Alias is a teachable “parasite” that is designed to give users more control over their smart assistants, both when it comes to customisation and privacy. Through a simple app the user can train Alias to react on a custom wake-word/sound, and once trained, Alias can take control over your home assistant by activating it for you.",https://github.com/bjoernkarmann/project_alias,219,1
ESFileExplorerOpenPortVuln,python,ES File Explorer Open Port Vulnerability - CVE-2019-6447,https://github.com/fs0c131y/ESFileExplorerOpenPortVuln,162,1
super-inspire-end,python,"在不到30s内得到一个干净的开箱即用的临时linux系统.(暂时提供Ubuntu, Centos, Alpine进行测试, 后续会提供更多)",https://github.com/super-inspire/super-inspire-end,148,1
CopyTranslator,python,Foreign language reading and translation assistant based on copy and translate.(Latest: v0.0.7-Kylin-RC1),https://github.com/elliottzheng/CopyTranslator,214,1
Gasyori100knock,python,,https://github.com/yoyoyo-yo/Gasyori100knock,109,1
ObjectDetection-OneStageDet,python,,https://github.com/TencentYoutuResearch/ObjectDetection-OneStageDet,88,1
howmanypeoplearearound,python,Count the number of people around you👨‍👨‍👦by monitoring wifi signals📡,https://github.com/schollz/howmanypeoplearearound,335,1
lyanna,python,My Blog Using Sanic,https://github.com/dongweiming/lyanna,38,1
funNLP,python,中英文敏感词、语言检测、中外手机/电话归属地/运营商查询、名字推断性别、手机号抽取、身份证抽取、邮箱抽取、中日文人名库、中文缩写库、拆字词典、词汇情感值、停用词、反动词表、暴恐词表、繁简体转换、英文模拟中文发音、汪峰歌词生成器、职业名称词库、同义词库、反义词库、否定词库、汽车品牌词库、汽车零件词库、连续英文切割、各种中文词向量、公司名字大全、古诗词库、IT词库、财经词库、成语词库、地名词库、历史名人词库、诗词词库、医学词库、饮食词库、法律词库、汽车词库、动物词库、中文聊天语料、中文谣言数据、百度中文问答数据集、句子相似度匹配算法集合、bert资源、文本生成&摘要相关工具、cocoNLP信息抽取工具,https://github.com/fighting41love/funNLP,771,1
PrivExchange,python,Exchange your privileges for Domain Admin privs by abusing Exchange,https://github.com/dirkjanm/PrivExchange,99,1
LASER,python,Language-Agnostic SEntence Representations,https://github.com/facebookresearch/LASER,355,1
Machine-Learning-with-Python,python,Small scale machine learning projects to understand the core concepts,https://github.com/devAmoghS/Machine-Learning-with-Python,71,1
tldr,python,📚Simplified and community-driven man pages,https://github.com/tldr-pages/tldr,77,1
catt,python,"Cast All The Things allows you to send videos from many, many online sources to your Chromecast.",https://github.com/skorokithakis/catt,132,1
NeteaseCloudMusicFlac,python,"根据网易云音乐的歌单, 下载flac无损音乐到本地. Download the FLAC music from Internet according to your NeteaseCloudMusic playlist.",https://github.com/YongHaoWu/NeteaseCloudMusicFlac,119,1
hosts,python,"Extending and consolidating hosts files from several well-curated sources like adaway.org, mvps.org, malwaredomainlist.com, someonewhocares.org, and potentially others. You can optionally invoke extensions to block additional sites by category.",https://github.com/StevenBlack/hosts,106,1
DeepCreamPy,python,Decensoring Hentai with Deep Neural Networks,https://github.com/deeppomf/DeepCreamPy,80,1
pysc2,python,StarCraft II Learning Environment,https://github.com/deepmind/pysc2,76,1
nsfw,python,Suitable for Work (NSFW) classification,https://github.com/rockyzhengwu/nsfw,67,1
yodaos,python,AI OS for Web Community,https://github.com/yodaos-project/yodaos,162,1
rtv,python,Browse Reddit from your terminal,https://github.com/michael-lazar/rtv,137,1
HelloGitHub,python,分享 GitHub 上有趣、入门级的开源项目，帮你找到编程的乐趣。欢迎推荐、自荐项目，让更多人知道你的项目⭐️,https://github.com/521xueweihan/HelloGitHub,73,1
click-web,python,Serve click scripts over the web,https://github.com/fredrik-corneliusson/click-web,73,1
website,java,Risk-First Analysis Framework,https://github.com/risk-first/website,115,1
advanced-java,java,😮互联网 Java 工程师进阶知识完全扫盲,https://github.com/doocs/advanced-java,1300,1
JavaGuide,java,【Java学习+面试指南】 一份涵盖大部分Java程序员所需要掌握的核心知识。,https://github.com/Snailclimb/JavaGuide,1141,1
mall,java,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于SpringBoot+MyBatis实现。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。,https://github.com/macrozheng/mall,649,1
spring-boot,java,Spring Boot,https://github.com/spring-projects/spring-boot,277,1
tutorials,java,"The ""REST With Spring"" Course:",https://github.com/eugenp/tutorials,205,1
hope-plus,java,Hope-plus是一款nice的权限管理系统。基于Springboot2开发，整合使用mybatis+shiro+redis+thymeleaf+maven等实用技术。🏷,https://github.com/java-aodeng/hope-plus,85,1
SchemaCrawler,java,Free database schema discovery and comprehension tool,https://github.com/schemacrawler/SchemaCrawler,27,1
matrix,java,"Matrix is a plugin style, non-invasive APM system developed by WeChat.",https://github.com/Tencent/matrix,152,1
halo,java,Halo可能是最好的Java博客系统😉,https://github.com/ruibaby/halo,20,1
cim,java,📲cim(cross IM) 适用于开发者的即时通讯系统,https://github.com/crossoverJie/cim,338,1
miaosha,java,😮😮秒杀系统设计与实现.互联网工程师进阶与分析🙋🐓,https://github.com/qiurunze123/miaosha,476,1
JCSprout,java,"👨‍🎓Java Core Sprout : basic, concurrent, algorithm",https://github.com/crossoverJie/JCSprout,50,1
arthas,java,Alibaba Java Diagnostic Tool Arthas/Alibaba Java诊断利器Arthas,https://github.com/alibaba/arthas,216,1
symphony,java,🎶一款用 Java 实现的现代化社区（论坛/BBS/社交网络/博客）平台。https://hacpai.com,https://github.com/b3log/symphony,67,1
Java,java,All Algorithms implemented in Java,https://github.com/TheAlgorithms/Java,47,1
spring-framework,java,Spring Framework,https://github.com/spring-projects/spring-framework,17,1
fescar,java,"Fescar is an easy-to-use, high-performance, java based, open source distributed transaction solution.",https://github.com/alibaba/fescar,767,1
RxFFmpeg,java,RxFFmpeg 是基于 ( FFmpeg 4.0 + X264 + mp3lame + fdk-aac ) 编译的适用于 Android 平台的音视频编辑、视频剪辑的快速处理框架，包含以下功能（视频拼接，转码，压缩，裁剪，片头片尾，分离音视频，变速，添加静态贴纸和gif动态贴纸，添加字幕，添加滤镜，添加背景音乐，加速减速视频，倒放音视频，音频裁剪，变声，混音，图片合成视频，视频解码图片等主流特色功能,https://github.com/microshow/RxFFmpeg,53,1
java-design-patterns,java,Design patterns implemented in Java,https://github.com/iluwatar/java-design-patterns,33,1
VirtualUETool,java,"Show/edit any view's attributions, any app.",https://github.com/zhangke3016/VirtualUETool,25,1
apollo,java,Apollo（阿波罗）是携程框架部门研发的分布式配置中心，能够集中化管理应用不同环境、不同集群的配置，配置修改后能够实时推送到应用端，并且具备规范的权限、流程治理等特性，适用于微服务配置管理场景。,https://github.com/ctripcorp/apollo,67,1
interviews,java,Everything you need to know to get the job.,https://github.com/kdn251/interviews,56,1
DDMQ,java,"DDMQ is a distributed messaging product with low latency, high throughput and high availability.",https://github.com/didi/DDMQ,54,1
dbeaver,java,Free universal database tool and SQL client,https://github.com/dbeaver/dbeaver,72,1
nacos,java,"an easy-to-use dynamic service discovery, configuration and service management platform for building cloud native applications.",https://github.com/alibaba/nacos,269,1
XUI,java,💍一个简洁而优雅的Android原生UI框架，解放你的双手！,https://github.com/xuexiangjys/XUI,70,1
eladmin,java,项目基于 Spring Boot 2.1.0 、 Spring boot Jpa、 Spring Security、redis、Vue的前后端分离的权限管理系统，项目采用分模块开发方式， 权限控制采用 RBAC（Role-Based Access Control，基于角色的访问控制），前端菜单支持动态路由,https://github.com/elunez/eladmin,53,1
OpenCue,java,Render farm management software,https://github.com/imageworks/OpenCue,82,1
Diooto,java,"微博,微信图库效果,微信视频拖放效果,适配状态栏 、屏幕旋转 、全屏 、长图、GIF、视频",https://github.com/moyokoo/Diooto,56,1
java-almanac,java,Some Java Historiography,https://github.com/marchof/java-almanac,56,1
flink,java,Apache Flink,https://github.com/apache/flink,491,1
awesome-interview-questions,unknown,A curated awesome list of lists of interview questions. Feel free to contribute!🎓,https://github.com/MaximAbramchuck/awesome-interview-questions,1521,1
awesome-awesome-awesome,unknown,Awesome list of repositories of awesome lists🤷‍♀️,https://github.com/jonatasbaldin/awesome-awesome-awesome,320,1
Best-websites-a-programmer-should-visit,unknown,🔗Some useful websites for programmers.,https://github.com/sdmg15/Best-websites-a-programmer-should-visit,304,1
awesome,unknown,😎Curated list of awesome lists,https://github.com/sindresorhus/awesome,636,1
the-book-of-secret-knowledge,unknown,"💫A collection of awesome lists, manuals, blogs, hacks, one-liners, cli/web tools and more. Especially for System and Network Administrators, DevOps, Pentesters or Security Researchers.",https://github.com/trimstray/the-book-of-secret-knowledge,800,1
Pi-Hole-PiVPN-on-Google-Compute-Engine-Free-Tier-with-Full-Tunnel-and-Split-Tunnel-OpenVPN-Configs,unknown,Run your own privacy-first ad blocking service in the cloud for free on Google Cloud Services.,https://github.com/rajannpatel/Pi-Hole-PiVPN-on-Google-Compute-Engine-Free-Tier-with-Full-Tunnel-and-Split-Tunnel-OpenVPN-Configs,101,1
deep_learning_object_detection,unknown,A paper list of object detection using deep learning.,https://github.com/hoya012/deep_learning_object_detection,84,1
developer-roadmap,unknown,Roadmap to becoming a web developer in 2019,https://github.com/kamranahmedse/developer-roadmap,1698,1
ds-cheatsheets,unknown,List of Data Science Cheatsheets to rule the world,https://github.com/FavioVazquez/ds-cheatsheets,72,1
react-typescript-cheatsheet,unknown,a cheatsheet for react users using typescript with react for the first (or nth!) time,https://github.com/sw-yx/react-typescript-cheatsheet,159,1
algorithms,unknown,"Bug-tracking for Jeff's algorithms book, notes, etc.",https://github.com/jeffgerickson/algorithms,1002,1
pwc,unknown,Papers with code. Sorted by stars. Updated weekly.,https://github.com/zziz/pwc,330,1
CS-Notes,unknown,📚Computer Science Learning Notes,https://github.com/CyC2018/CS-Notes,968,1
GitHubDaily,unknown,GitHubDaily 分享内容定期整理与分类。欢迎推荐、自荐项目，让更多人知道你的项目。,https://github.com/GitHubDaily/GitHubDaily,310,1
Girls-In-AI,unknown,Coding is the new sexy.,https://github.com/YZHANG1270/Girls-In-AI,97,1
You-Dont-Know-JS,unknown,A book series on JavaScript. @YDKJS on twitter.,https://github.com/getify/You-Dont-Know-JS,307,1
gitignore,unknown,A collection of useful .gitignore templates,https://github.com/github/gitignore,313,1
A-Programmers-Guide-to-English,unknown,专为程序员编写的英语学习指南。v1.0,https://github.com/yujiangshui/A-Programmers-Guide-to-English,643,1
ChinaMobilePhoneNumberRegex,unknown,Regular expressions that match the mobile phone number in mainland China. / 一组匹配中国大陆手机号码的正则表达式。,https://github.com/VincentSit/ChinaMobilePhoneNumberRegex,57,1
OrgKit,unknown,"Provision a brand-new company with proper defaults in Windows, Offic365, and Azure",https://github.com/SwiftOnSecurity/OrgKit,54,1
gamedesign-playlist,unknown,,https://github.com/kkga/gamedesign-playlist,128,1
awesome-react,unknown,A collection of awesome things regarding React ecosystem.,https://github.com/enaqx/awesome-react,111,1
spec,unknown,The canonical spec for ulid,https://github.com/ulid/spec,175,1
browser-pwn,unknown,An updated collection of resources targeting browser-exploitation.,https://github.com/m1ghtym0/browser-pwn,78,1
100-Days-Of-ML-Code,unknown,100 Days of ML Coding,https://github.com/Avik-Jain/100-Days-Of-ML-Code,127,1
blog,unknown,我是木易杨，网易高级前端工程师，跟着我每周重点攻克一个前端面试重难点。接下来让我带你走进高级前端的世界，在进阶的路上，共勉！,https://github.com/yygmind/blog,67,1
open-source-cs,unknown,Video discussing this curriculum:,https://github.com/ForrestKnight/open-source-cs,1034,1
kubernetes-failure-stories,unknown,Compilation of public failure/horror stories related to Kubernetes,https://github.com/hjacobs/kubernetes-failure-stories,466,1
The-Economist,unknown,The Economist 经济学人，持续更新,https://github.com/nailperry-zd/The-Economist,77,1
RaymarchingWorkshop,unknown,Introduction to Raymarching,https://github.com/ajweeks/RaymarchingWorkshop,80,1
awesome-java-security,unknown,Awesome Java Security Resources🕶☕🔐,https://github.com/guardrailsio/awesome-java-security,62,1
the-practical-linux-hardening-guide,unknown,⚡️This guide details the planning and the tools involved in creating a secure Linux production systems - work in progress.,https://github.com/trimstray/the-practical-linux-hardening-guide,3728,1
unmaintainable-code,unknown,"A more maintainable, easier to share version of the infamous http://mindprod.com/jgloss/unmain.html",https://github.com/Droogans/unmaintainable-code,166,1
quick-look-plugins,unknown,List of useful Quick Look plugins for developers,https://github.com/sindresorhus/quick-look-plugins,75,1
awesome-mobile-web-development,unknown,All that you need to create a great mobile web experience,https://github.com/myshov/awesome-mobile-web-development,246,1
HyperDL-Tutorial,unknown,深度学习教程整理 | 干货,https://github.com/zeusees/HyperDL-Tutorial,170,1
Girl-Dress-,unknown,看到女装的项目的issue建议妹子建一个男装的项目，但是考虑到github的女性用户 数量貌似并不能达到女装的效果2333总之先建一个。,https://github.com/greenaway07/Girl-Dress-,93,1
Motrix,javascript,A full-featured download manger.,https://github.com/agalwood/Motrix,376,1
