Name,Language,Description,URL,Stars,Month
UGATIT,python,Official Tensorflow implementation of U-GAT-IT: Unsupervised Generative Attentional Networks with Adaptive Layer-Instance Normalization for Image-to-Image Translation,https://github.com/taki0112/UGATIT,534,8
fairseq,python,Facebook AI Research Sequence-to-Sequence Toolkit written in Python.,https://github.com/pytorch/fairseq,95,8
httpx,python,A next generation HTTP client for Python.🦋,https://github.com/encode/httpx,173,8
chromego,python,ChromeGo 翻墙工具包,https://github.com/killgcd/chromego,70,8
mlflow,python,Open source platform for the machine learning lifecycle,https://github.com/mlflow/mlflow,7,8
pipelines,python,Machine Learning Pipelines for Kubeflow,https://github.com/kubeflow/pipelines,5,8
bert-as-service,python,Mapping a variable-length sentence to a fixed-length vector using BERT model,https://github.com/hanxiao/bert-as-service,17,8
doccano,python,Open source text annotation tool for machine learning practitioner.,https://github.com/chakki-works/doccano,4,8
prefect,python,The Prefect Core workflow engine,https://github.com/PrefectHQ/prefect,10,8
ERNIE,python,An Implementation of ERNIE For Language Understanding (including Pre-training models and Fine-tuning tools),https://github.com/PaddlePaddle/ERNIE,63,8
face_recognition,python,The world's simplest facial recognition api for Python and the command line,https://github.com/ageitgey/face_recognition,215,8
studyFiles,python,一些经典且高质量的电子书分享,https://github.com/threerocks/studyFiles,79,8
pytorch-lightning,python,Rapid research framework for PyTorch. The researcher's version of Keras,https://github.com/williamFalcon/pytorch-lightning,293,8
keras-tuner,python,Hyperparameter tuning for humans,https://github.com/keras-team/keras-tuner,35,8
manim,python,Animation engine for explanatory math videos,https://github.com/3b1b/manim,148,8
video-object-removal,python,Just draw a bounding box and you can remove the object you want to remove.,https://github.com/zllrunning/video-object-removal,62,8
neural-networks-and-deep-learning,python,"Code samples for my book ""Neural Networks and Deep Learning""",https://github.com/mnielsen/neural-networks-and-deep-learning,22,8
Real-Time-Voice-Cloning,python,Clone a voice in 5 seconds to generate arbitrary speech in real-time,https://github.com/CorentinJ/Real-Time-Voice-Cloning,779,8
NeuralNLP-NeuralClassifier,python,An Open-source Neural Hierarchical Multi-label Text Classification Toolkit,https://github.com/Tencent/NeuralNLP-NeuralClassifier,21,8
python_autocomplete,python,A simple neural network for python autocompletion,https://github.com/vpj/python_autocomplete,44,8
UGATIT-pytorch,python,Official PyTorch implementation of U-GAT-IT: Unsupervised Generative Attentional Networks with Adaptive Layer-Instance Normalization for Image-to-Image Translation,https://github.com/znxlwm/UGATIT-pytorch,186,8
handout,python,Turn Python scripts into handouts with Markdown and figures,https://github.com/danijar/handout,214,8
pyBlazing,python,"BlazingSQL is a lightweight, GPU accelerated, SQL engine built on RAPIDS.",https://github.com/BlazingDB/pyBlazing,102,8
ZeroNet,python,ZeroNet - Decentralized websites using Bitcoin crypto and BitTorrent network,https://github.com/HelloZeroNet/ZeroNet,61,8
TecoGAN,python,"This repo will contain source code and materials for the TecoGAN project, i.e. code for a TEmporally COherent GAN",https://github.com/thunil/TecoGAN,109,8
delta,python,DELTA is a deep learning based natural language and speech processing platform.,https://github.com/didi/delta,163,8
sherlock,python,🔎Find usernames across social networks,https://github.com/sherlock-project/sherlock,169,8
cloudgoat,python,"CloudGoat is Rhino Security Labs' ""Vulnerable by Design"" AWS deployment tool",https://github.com/RhinoSecurityLabs/cloudgoat,6,8
AttackSurfaceMapper,python,AttackSurfaceMapper is a tool that aims to automate the reconnaissance process.,https://github.com/superhedgy/AttackSurfaceMapper,48,8
interview_internal_reference,python,2019年最新总结，阿里，腾讯，百度，美团，头条等技术面试题目，以及答案，专家出题人分析汇总。,https://github.com/0voice/interview_internal_reference,228,8
nlp,python,📝This repository recorded my NLP journey.,https://github.com/makcedward/nlp,194,8
inter,python,The Inter font family,https://github.com/rsms/inter,23,8
rasa,python,"💬Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management, connect to Slack, Facebook, and more - Create chatbots and voice assistants",https://github.com/RasaHQ/rasa,10,8
MoGA,python,MoGA: Searching Beyond MobileNetV3,https://github.com/xiaomi-automl/MoGA,3,8
python,python,Official Python client library for kubernetes,https://github.com/kubernetes-client/python,4,8
Shadowsocks,python,史上最全科学上网教程（最新）,https://github.com/xiaobei2008/Shadowsocks,13,8
gluon-ts,python,GluonTS - Probabilistic Time Series Modeling in Python,https://github.com/awslabs/gluon-ts,1,8
AbsoluteZero,python,Python APT Backdoor,https://github.com/TheSph1nx/AbsoluteZero,30,8
favorite-link,python,❤️每日收集喜欢的开源项目,https://github.com/guanguans/favorite-link,136,8
thefuck,python,Magnificent app which corrects your previous console command.,https://github.com/nvbn/thefuck,208,8
serverless-application-model,python,AWS Serverless Application Model (SAM) is an open-source framework for building serverless applications,https://github.com/awslabs/serverless-application-model,12,8
HelloGitHub,python,Find pearls on open-source seashore 分享 GitHub 上有趣、入门级的开源项目,https://github.com/521xueweihan/HelloGitHub,81,8
audio,python,"Data manipulation and transformation for audio signal processing, powered by PyTorch",https://github.com/pytorch/audio,5,8
google-research,python,Google AI Research,https://github.com/google-research/google-research,98,8
hacs,python,"Manage (Install, track, upgrade) and discover custom elements for Home Assistant.",https://github.com/custom-components/hacs,3,8
scipy,python,Scipy library main repository,https://github.com/scipy/scipy,10,8
pandas,python,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R data.frame objects, statistical functions, and much more",https://github.com/pandas-dev/pandas,24,8
localstack,python,💻A fully functional local AWS cloud stack. Develop and test your cloud & Serverless apps offline!,https://github.com/localstack/localstack,57,8
bsuite,python,bsuite is a collection of carefully-designed experiments that investigate core capabilities of a reinforcement learning (RL) agent,https://github.com/deepmind/bsuite,43,8
snorkel,python,A system for quickly generating training data with weak supervision,https://github.com/snorkel-team/snorkel,66,8
algo,python,数据结构和算法必知必会的50个代码实现,https://github.com/wangzheng0822/algo,22,8
DeepLearningExamples,python,Deep Learning Examples,https://github.com/NVIDIA/DeepLearningExamples,17,8
examples-of-web-crawlers,python,"一些有趣的python爬虫例子,对新手比较友好,主要爬取淘宝、天猫、微信、豆瓣、QQ等网站。(Some interesting examples of python crawlers that are friendly to beginners. )",https://github.com/shengqiangzhang/examples-of-web-crawlers,149,8
pyforest,python,Lazy-import of all popular Python Data Science libraries,https://github.com/8080labs/pyforest,34,8
public-apis,python,A collective list of free APIs for use in software and web development.,https://github.com/public-apis/public-apis,26,8
CVE-2018-13379,python,CVE-2018-13379,https://github.com/milo2012/CVE-2018-13379,5,8
wifiphisher,python,The Rogue Access Point Framework,https://github.com/wifiphisher/wifiphisher,152,8
system-design-primer,python,Learn how to design large-scale systems. Prep for the system design interview. Includes Anki flashcards.,https://github.com/donnemartin/system-design-primer,319,8
100-Days-Of-ML-Code,python,100 Days of ML Coding,https://github.com/Avik-Jain/100-Days-Of-ML-Code,112,8
RAdam,python,On The Variance Of The Adaptive Learning Rate And Beyond,https://github.com/LiyuanLucasLiu/RAdam,170,8
tuya-convert,python,A collection of scripts to flash Tuya IoT devices to alternative firmwares,https://github.com/ct-Open-Source/tuya-convert,4,8
SickZil-Machine,python,Manga/Comics Translation Helper Tool,https://github.com/KUR-creative/SickZil-Machine,51,8
gpt-2,python,"Code for the paper ""Language Models are Unsupervised Multitask Learners""",https://github.com/openai/gpt-2,55,8
A-Light-and-Fast-Face-Detector-for-Edge-Devices,python,a light and fast face detector for edge devices,https://github.com/YonghaoHe/A-Light-and-Fast-Face-Detector-for-Edge-Devices,50,8
kubernetes-workshop,python,⚙️A Gentle introduction to Kubernetes with more than just the basics.🌟Give it a star if you like it.,https://github.com/eon01/kubernetes-workshop,90,8
Chinese-PreTrained-XLNet,python,Pre-Trained Chinese XLNet（中文XLNet预训练模型）,https://github.com/ymcui/Chinese-PreTrained-XLNet,17,8
ShuffleNet-Series,python,,https://github.com/megvii-model/ShuffleNet-Series,30,8
ansible,python,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy. Avoid writing scripts or custom code to deploy and update your applications — automate in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com/ansible/",https://github.com/ansible/ansible,27,8
compose,python,Define and run multi-container applications with Docker,https://github.com/docker/compose,16,8
numpy-ml,python,"Machine learning, in numpy",https://github.com/ddbourgin/numpy-ml,15,8
django-rest-framework,python,Web APIs for Django.⚡️,https://github.com/encode/django-rest-framework,20,8
AutoTimer,python,,https://github.com/KalleHallden/AutoTimer,24,8
awesome-python,python,"A curated list of awesome Python frameworks, libraries, software and resources",https://github.com/vinta/awesome-python,182,8
sqlmap,python,Automatic SQL injection and database takeover tool,https://github.com/sqlmapproject/sqlmap,13,8
youtube-dl,python,Command-line program to download videos from YouTube.com and other video sites,https://github.com/ytdl-org/youtube-dl,45,8
home-assistant,python,🏡Open source home automation that puts local control and privacy first,https://github.com/home-assistant/home-assistant,18,8
code_snippets,python,,https://github.com/CoreyMSchafer/code_snippets,10,8
pytorch-generative-adversarial-networks,python,A very simple generative adversarial network (GAN) in PyTorch,https://github.com/devnag/pytorch-generative-adversarial-networks,11,8
votenet,python,Deep Hough Voting for 3D Object Detection in Point Clouds,https://github.com/facebookresearch/votenet,113,8
ML-From-Scratch,python,Machine Learning From Scratch. Bare bones NumPy implementations of machine learning models and algorithms with a focus on accessibility. Aims to cover everything from linear regression to deep learning.,https://github.com/eriklindernoren/ML-From-Scratch,246,8
pytorch-transformers,python,👾A library of state-of-the-art pretrained models for Natural Language Processing (NLP),https://github.com/huggingface/pytorch-transformers,117,8
models,python,Models and examples built with TensorFlow,https://github.com/tensorflow/models,73,8
awesome-python-login-model,python,😮python模拟登陆一些大型网站，还有一些简单的爬虫，希望对你们有所帮助❤️，如果喜欢记得给个star哦🌟,https://github.com/Kr1s77/awesome-python-login-model,31,8
mmsr,python,"Open MMLab Image and Video Super-Resolution Toolbox, , including SRResNet, SRGAN, ESRGAN, EDVR, etc.",https://github.com/open-mmlab/mmsr,103,8
mmdetection,python,Open MMLab Detection Toolbox and Benchmark,https://github.com/open-mmlab/mmdetection,43,8
netbox,python,IP address management (IPAM) and data center infrastructure management (DCIM) tool.,https://github.com/netbox-community/netbox,4,8
gensim,python,Topic Modelling for Humans,https://github.com/RaRe-Technologies/gensim,10,8
arthas,java,Alibaba Java Diagnostic Tool Arthas/Alibaba Java诊断利器Arthas,https://github.com/alibaba/arthas,131,8
data-transfer-project,java,"The Data Transfer Project makes it easy for people to transfer their data between online service providers. We are establishing a common framework, including data models and protocols, to enable direct transfer of data both into and out of participating online service providers.",https://github.com/google/data-transfer-project,93,8
quickstart-android,java,Firebase Quickstart Samples for Android,https://github.com/firebase/quickstart-android,38,8
GSYVideoPlayer,java,"视频播放器（IJKplayer、ExoPlayer、MediaPlayer），HTTPS，支持弹幕，支持滤镜、水印、gif截图，片头广告、中间广告，多个同时播放，支持基本的拖动，声音、亮度调节，支持边播边缓存，支持视频自带rotation的旋转（90,270之类），重力旋转与手动旋转的同步支持，支持列表播放 ，列表全屏动画，视频加载速度，列表小窗口支持拖动，动画效果，调整比例，多分辨率切换，支持切换播放器，进度条小窗口预览，列表切换详情页面无缝播放，rtsp、concat、mpeg。",https://github.com/CarGuo/GSYVideoPlayer,49,8
CS-Notes,java,📚Tech Interview Guide 技术面试必备基础知识、Leetcode 题解、Java、C++、Python、后端面试、操作系统、计算机网络、系统设计,https://github.com/CyC2018/CS-Notes,407,8
spring-boot-plus,java,"🔥spring-boot-plus集成Spring Boot 2.1.6,Mybatis,Mybatis Plus,Druid,FastJson,Redis,Rabbit MQ,Kafka等，可使用代码生成器快速开发项目🚀",https://github.com/geekidea/spring-boot-plus,57,8
debezium,java,Change data capture for a variety of databases. https://debezium.io Please log issues in our JIRA at https://issues.jboss.org/projects/DBZ/issues,https://github.com/debezium/debezium,8,8
tutorials,java,"The ""REST With Spring"" Course:",https://github.com/eugenp/tutorials,109,8
SmartSwipe,java,An android library to make swipe more easier and more powerful. 关于侧滑，有这一个就够了,https://github.com/luckybilly/SmartSwipe,98,8
JavaGuide,java,【Java学习+面试指南】 一份涵盖大部分Java程序员所需要掌握的核心知识。,https://github.com/Snailclimb/JavaGuide,469,8
interviews,java,Everything you need to know to get the job.,https://github.com/kdn251/interviews,190,8
spring-cloud-alibaba,java,Spring Cloud Alibaba provides a one-stop solution for application development for the distributed solutions of Alibaba middleware.,https://github.com/alibaba/spring-cloud-alibaba,137,8
bbs,java,"巡云轻论坛系统采用JAVA+MYSQL架构，自适应手机端和电脑端，界面简洁，性能高效。数据库表结构设计使用分表方案,提高系统的负载能力。后台数据库备份/还原、全站指定目录打包、一键自动升级等功能使维护简单方便。系统拥有强大的模板管理功能，布局版块支持设置输出条件，让前端页面展示方便快捷。",https://github.com/diyhi/bbs,29,8
CtCI-6th-Edition,java,Cracking the Coding Interview 6th Ed. Solutions,https://github.com/careercup/CtCI-6th-Edition,7,8
Telegram,java,Telegram for Android source,https://github.com/DrKLO/Telegram,13,8
ghidra,java,Ghidra is a software reverse engineering (SRE) framework,https://github.com/NationalSecurityAgency/ghidra,41,8
netbeans,java,Apache NetBeans,https://github.com/apache/netbeans,3,8
proxyee-down,java,http下载工具，基于http代理，支持多连接分块下载,https://github.com/proxyee-down-org/proxyee-down,17,8
spring-boot,java,Spring Boot,https://github.com/spring-projects/spring-boot,48,8
flink,java,Apache Flink,https://github.com/apache/flink,15,8
solo,java,🎸一款小而美的博客系统，专为程序员设计。,https://github.com/b3log/solo,151,8
storm,java,Mirror of Apache Storm,https://github.com/apache/storm,4,8
