Name,Language,Description,URL,Stars,Month
streamlit,python,Streamlit — The fastest way to build custom ML tools,https://github.com/streamlit/streamlit,341,11
SinGAN,python,"Official pytorch implementation of the paper: ""SinGAN: Learning a Generative Model from a Single Natural Image""",https://github.com/tamarott/SinGAN,297,11
DeepLearningExamples,python,Deep Learning Examples,https://github.com/NVIDIA/DeepLearningExamples,65,11
mypy,python,Optional static typing for Python 3 and 2 (PEP 484),https://github.com/python/mypy,27,11
python-patterns,python,A collection of design patterns/idioms in Python,https://github.com/faif/python-patterns,32,11
dash,python,Analytical Web Apps for Python & R. No JavaScript Required.,https://github.com/plotly/dash,84,11
nni,python,An open source AutoML toolkit for neural architecture search and hyper-parameter tuning.,https://github.com/microsoft/nni,40,11
seq2seq-couplet,python,Play couplet with seq2seq model. 用深度学习对对联。,https://github.com/wb14123/seq2seq-couplet,96,11
optuna,python,A hyperparameter optimization framework,https://github.com/pfnet/optuna,10,11
transformers,python,🤗Transformers: State-of-the-art Natural Language Processing for TensorFlow 2.0 and PyTorch.,https://github.com/huggingface/transformers,206,11
spleeter,python,Deezer source separation library including pretrained models.,https://github.com/deezer/spleeter,973,11
DeepCTR,python,"Easy-to-use,Modular and Extendible package of deep-learning based CTR models.",https://github.com/shenweichen/DeepCTR,9,11
localstack,python,💻A fully functional local AWS cloud stack. Develop and test your cloud & Serverless apps offline!,https://github.com/localstack/localstack,153,11
Ultra-Light-Fast-Generic-Face-Detector-1MB,python,💎1MB lightweight face detection model (1MB轻量级人脸检测模型),https://github.com/Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB,59,11
rockstar,python,Makes you a Rockstar C++ Programmer in 2 minutes,https://github.com/avinassh/rockstar,114,11
cloud-custodian,python,"Rules engine for cloud security, cost optimization, and governance, DSL in yaml for policies to query, filter, and take actions on resources",https://github.com/cloud-custodian/cloud-custodian,6,11
ambassador,python,open source Kubernetes-native API gateway for microservices built on the Envoy Proxy,https://github.com/datawire/ambassador,4,11
httpx,python,A next generation HTTP client for Python.🦋,https://github.com/encode/httpx,17,11
interpy-zh,python,📘《Python进阶》（Intermediate Python 中文版）,https://github.com/eastlakeside/interpy-zh,61,11
aws-cloudformation-templates,python,A collection of useful CloudFormation templates,https://github.com/awslabs/aws-cloudformation-templates,6,11
gpt-2,python,"Code for the paper ""Language Models are Unsupervised Multitask Learners""",https://github.com/openai/gpt-2,271,11
gpt-2-output-dataset,python,"Dataset of GPT-2 outputs for research in detection, biases, and more",https://github.com/openai/gpt-2-output-dataset,101,11
FASPell,python,产学界最强（SOTA）的简繁中文拼写检查工具：FASPell Chinese Spell Checker (Chinese Spell Check / 中文拼写检错 / 中文拼写纠错 / 中文拼写检查),https://github.com/iqiyi/FASPell,129,11
ansible,python,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy. Avoid writing scripts or custom code to deploy and update your applications — automate in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com/ansible/",https://github.com/ansible/ansible,79,11
OUCML,python,,https://github.com/OUCMachineLearning/OUCML,18,11
d2l-zh,python,《动手学深度学习》：面向中文读者、能运行、可讨论。英文版即伯克利“深度学习导论”教材。,https://github.com/d2l-ai/d2l-zh,24,11
pytorch_geometric,python,Geometric Deep Learning Extension Library for PyTorch,https://github.com/rusty1s/pytorch_geometric,22,11
GPT2-Chinese,python,"Chinese version of GPT2 training code, using BERT tokenizer.",https://github.com/Morizeyao/GPT2-Chinese,36,11
public-apis,python,A collective list of free APIs for use in software and web development.,https://github.com/public-apis/public-apis,103,11
mmfashion,python,Open-source toolbox for visual fashion analysis based on PyTorch,https://github.com/open-mmlab/mmfashion,14,11
my_first_calculator.py,python,my_first_calculator.py,https://github.com/AceLewis/my_first_calculator.py,734,11
youtube-dl,python,Command-line program to download videos from YouTube.com and other video sites,https://github.com/ytdl-org/youtube-dl,102,11
hosts,python,"Extending and consolidating hosts files from several well-curated sources like adaway.org, mvps.org, malwaredomainlist.com, someonewhocares.org, and potentially others. You can optionally invoke extensions to block additional sites by category.",https://github.com/StevenBlack/hosts,24,11
mininet,python,Emulator for rapid prototyping of Software Defined Networks,https://github.com/mininet/mininet,13,11
system-design-primer,python,Learn how to design large-scale systems. Prep for the system design interview. Includes Anki flashcards.,https://github.com/donnemartin/system-design-primer,106,11
neural-networks-and-deep-learning,python,"Code samples for my book ""Neural Networks and Deep Learning""",https://github.com/mnielsen/neural-networks-and-deep-learning,29,11
OctoPrint,python,OctoPrint is the snappy web interface for your 3D printer!,https://github.com/foosel/OctoPrint,8,11
pyTelegramBotAPI,python,Python Telegram bot api.,https://github.com/eternnoir/pyTelegramBotAPI,10,11
tensorlayer,python,Deep Learning and Reinforcement Learning Library for Scientists,https://github.com/tensorlayer/tensorlayer,37,11
Real-Time-Voice-Cloning,python,Clone a voice in 5 seconds to generate arbitrary speech in real-time,https://github.com/CorentinJ/Real-Time-Voice-Cloning,1329,11
quay,python,"Build, Store, and Distribute your Applications and Containers",https://github.com/quay/quay,637,11
Deep-Learning-with-TensorFlow-book,python,"深度学习开源书，基于TensorFlow 2.0实战。Open source Deep Learning book, based on TensorFlow 2.0 framework.",https://github.com/dragen1860/Deep-Learning-with-TensorFlow-book,1403,11
python,python,Official Python client library for kubernetes,https://github.com/kubernetes-client/python,5,11
SeleniumBase,python,✅Easy Web Automation and Testing with Python.,https://github.com/seleniumbase/SeleniumBase,106,11
c9-python-getting-started,python,Sample code for Channel 9 Python for Beginners course,https://github.com/microsoft/c9-python-getting-started,24,11
