Name,Language,Description,URL,Stars,Month
zero,python,Zero is a web server to simplify web development.,https://github.com/remoteinterview/zero,427,3
lazynlp,python,Library to scrape and clean web pages to create massive datasets.,https://github.com/chiphuyen/lazynlp,222,3
Algorithm_Interview_Notes-Chinese,python,2018/2019/校招/春招/秋招/算法/机器学习(Machine Learning)/深度学习(Deep Learning)/自然语言处理(NLP)/C/C++/Python/面试笔记,https://github.com/imhuay/Algorithm_Interview_Notes-Chinese,967,3
pghoard,python,PostgreSQL backup and restore service,https://github.com/aiven/pghoard,172,3
d6tflow,python,Python library for building highly effective data science workflows,https://github.com/d6t/d6tflow,164,3
faceswap,python,Non official project based on original /r/Deepfakes thread. Many thanks to him!,https://github.com/deepfakes/faceswap,484,3
public-apis,python,A collective list of free APIs for use in software and web development.,https://github.com/toddmotto/public-apis,105,3
subsync,python,Automagically synchronize subtitles with video.,https://github.com/smacke/subsync,107,3
system-design-primer,python,Learn how to design large-scale systems. Prep for the system design interview. Includes Anki flashcards.,https://github.com/donnemartin/system-design-primer,747,3
zulip,python,Zulip server - powerful open source team chat,https://github.com/zulip/zulip,94,3
m2cgen,python,"Transform ML models into a native code (Java, C, Python, etc.) with zero dependencies",https://github.com/BayesWitnesses/m2cgen,618,3
maskscoring_rcnn,python,"Codes for paper ""Mask Scoring R-CNN"".",https://github.com/zjhuang22/maskscoring_rcnn,328,3
neural-mmo,python,Neural MMO - A Massively Multiagent Game Environment,https://github.com/openai/neural-mmo,300,3
wesng,python,Windows Exploit Suggester - Next Generation,https://github.com/bitsadmin/wesng,185,3
ludwig,python,Ludwig is a toolbox built on top of TensorFlow that allows to train and test deep learning models without the need to write code.,https://github.com/uber/ludwig,159,3
SiamMask,python,[CVPR2019] Fast Online Object Tracking and Segmentation: A Unifying Approach,https://github.com/foolwood/SiamMask,228,3
lingvo,python,Lingvo,https://github.com/tensorflow/lingvo,140,3
awesome-python-login-model,python,😮python模拟登陆一些大型网站，还有一些简单的爬虫，希望对你们有所帮助❤️，如果喜欢记得给个star哦🌟,https://github.com/CriseLYJ/awesome-python-login-model,1780,3
celeb-detection-oss,python,GIPHY's Open-Source Celebrity Detection Deep Learning Model,https://github.com/Giphy/celeb-detection-oss,208,3
USTC-Course,python,❤️中国科学技术大学课程资源,https://github.com/USTC-Resource/USTC-Course,516,3
CheatSheetSeries,python,The OWASP Cheat Sheet Series was created to provide a concise collection of high value information on specific application security topics.,https://github.com/OWASP/CheatSheetSeries,291,3
pytorch_geometric,python,Geometric Deep Learning Extension Library for PyTorch,https://github.com/rusty1s/pytorch_geometric,451,3
compare_gan,python,Compare GAN code.,https://github.com/google/compare_gan,87,3
gitbook2pdf,python,Grab the contents of the gitbook document and convert it to pdf,https://github.com/fuergaosi233/gitbook2pdf,80,3
ArchiveBox,python,"🗃The open source self-hosted web archive. Takes browser history/bookmarks/Pocket/Pinboard/etc., saves HTML, JS, PDFs, media, and more...",https://github.com/pirate/ArchiveBox,548,3
ChromeAppHeroes,python,"🌈Chrome插件英雄榜, 为优秀的Chrome插件写一本中文说明书, 让Chrome插件英雄们造福人类~ ChromePluginHeroes, Write a Chinese manual for the excellent Chrome plugin, let the Chrome plugin heroes benefit the human~",https://github.com/zhaoolee/ChromeAppHeroes,829,3
Python,python,All Algorithms implemented in Python,https://github.com/TheAlgorithms/Python,188,3
models,python,Models and examples built with TensorFlow,https://github.com/tensorflow/models,360,3
indico,python,Indico - A complete event management system,https://github.com/indico/indico,117,3
fastapi,python,"FastAPI framework, high performance, easy to learn, fast to code, ready for production",https://github.com/tiangolo/fastapi,284,3
LARK,python,LAnguage Representations Kit,https://github.com/PaddlePaddle/LARK,133,3
awesome-python,python,"A curated list of awesome Python frameworks, libraries, software and resources",https://github.com/vinta/awesome-python,276,3
PowerHub,python,"A web application to transfer PowerShell modules, executables, snippets and files while bypassing AV and application whitelisting",https://github.com/AdrianVollmer/PowerHub,47,3
paper-tips-and-tricks,python,"Best practice and tips & tricks to write scientific papers in LaTeX, with figures generated in Python or Matlab.",https://github.com/Wookai/paper-tips-and-tricks,473,3
dragonfly,python,An open source python library for scalable Bayesian optimisation.,https://github.com/dragonfly/dragonfly,73,3
BigGAN-PyTorch,python,The author's officially unofficial PyTorch BigGAN implementation.,https://github.com/ajbrock/BigGAN-PyTorch,362,3
requests-async,python,async-await support for `requests`.🍰,https://github.com/encode/requests-async,101,3
pyright,python,Static type checker for Python,https://github.com/Microsoft/pyright,634,3
pytorch-pretrained-BigGAN,python,🦋A PyTorch implementation of BigGAN with pretrained weights and conversion scripts.,https://github.com/huggingface/pytorch-pretrained-BigGAN,57,3
huawei2019-with-visualization,python,华为2019评判器开源(提供可视化接口，方便大家调试自己的判题器),https://github.com/AkatsukiCC/huawei2019-with-visualization,37,3
automl-gs,python,"Provide an input CSV and a target field to predict, generate a model + code to run it.",https://github.com/minimaxir/automl-gs,324,3
instantbox,python,"Get a clean, ready-to-go Linux box in seconds.",https://github.com/instantbox/instantbox,205,3
prefect,python,The Prefect Core automation engine,https://github.com/PrefectHQ/prefect,177,3
beagle,python,Beagle is an incident response and digital forensics tool which transforms security logs and data into graphs.,https://github.com/yampelo/beagle,107,3
pytype,python,A static type analyzer for Python code,https://github.com/google/pytype,85,3
996.ICU,python,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,https://github.com/996icu/996.ICU,36295,3
cartography,python,Cartography is a Python tool that consolidates infrastructure assets and the relationships between them in an intuitive graph view powered by a Neo4j database.,https://github.com/lyft/cartography,408,3
rosshow,python,Visualize ROS topics inside a terminal with Unicode/ASCII art,https://github.com/dheera/rosshow,285,3
PI-REC,python,🔥PI-REC: Progressive Image Reconstruction Network With Edge and Color Domain.🔥图像翻译，条件GAN，AI绘画,https://github.com/youyuge34/PI-REC,138,3
inltk,python,Natural Language Toolkit for Indic Languages,https://github.com/goru001/inltk,91,3
JavaGuide,java,【Java学习+面试指南】 一份涵盖大部分Java程序员所需要掌握的核心知识。,https://github.com/Snailclimb/JavaGuide,1469,3
spring-boot-examples,java,about learning Spring Boot via examples. Spring Boot 教程、技术栈示例代码，快速简单上手教程。,https://github.com/ityouknow/spring-boot-examples,1624,3
advanced-java,java,😮互联网 Java 工程师进阶知识完全扫盲,https://github.com/doocs/advanced-java,993,3
bubble-navigation,java,🎉[Android Library] A light-weight library to easily make beautiful Navigation Bar with ton of🎨customization option.,https://github.com/gauravk95/bubble-navigation,130,3
fescar,java,"🔥Fescar is an easy-to-use, high-performance, java based, open source distributed transaction solution.",https://github.com/alibaba/fescar,315,3
spring-boot,java,Spring Boot,https://github.com/spring-projects/spring-boot,329,3
